INT	INT	INT	INT	INT	STRING	STRING	STRING
24	24	10	30	12	Träo(120&153) Ðích T¥n Quan&có th¬ lînh sß môn nhi®m vø&nh¾ rõ m²i ngày Ðích Ti«n mµt vòng nhi®m vø(mµt vòng cån cÑ c¤p b§c khác nhau Nhi khác nhau&ß¾c ch×ng Vi 10~20Cá nhi®m vø) thß·ng cho Phiên Bµi Nga.		
25	25	15	25	27	Träo cao h½n chính mình C¤p 10 Ðích ngß¶i ch½i có th¬ bái sß&bái sß lúc sau s¨ gia tång giªt quái nh§n ðßþc Ðích kinh nghi®m&Hoà sß phó t± ðµi giªt quái T¡c nh§n ðßþc nhi«u h½n.		
26	26	10	20	28	Träo chính mình môn phái giæa Ðích kÛ nång truy«n thø Nhân&tiêu phí nh¤t ð¸nh Ðích kinh nghi®m Hoà ti«n tài có th¬ H÷c T§p b±n môn ðµc hæu chính là kÛ nång.		
27	27	15	35	0	Không c¥m quy«n NgoÕi có r¤t nhi«u r½i røng Ðích Bäo Tß½ng&Tá Khai lúc sau s¨ có ngoài ý mu¯n kinh hï Nga&Tñu nhìn ngß½i Ðích v§n khí.		
28	28	20	30	0	TÕi ngß¶i ch½i khác XØ có th¬ mua hàng ð¸nh v¸ Phù&TÕi Nhî Tß·ng d¤u hi®u Ðích ð¸a phß½ng sØ døng lúc sau&l¥n sau dùng lÕi Døng ð¯i Ñng Ðích ð¸nh v¸ Phù có th¬ r¤t nhanh Ðích tr· lÕi Nhî d¤u hi®u Ðích ð¸a phß½ng. B¤t quá chï có th¬ TÕi ÐÕi Lý, LÕc Dß½ng, Thành Tô Châu Nµi sØ døng.		
29	29	15	25	0	Ðáo Ðµi Hoàng lúc sau&Án TabKi®n Tá Khai trß¶ng cänh bän ð°&trên m£t ð¤t Ð° Ðích phía trên s¨ tìm ðßþc bäo tàng Ðích chæ&bäo tàng bên trong Ðích quái v§t Tï dã ngoÕi Ðích Yêu nhi«u h½n nhi«u.		
30	30	20	25	18	Ðáo LÕc Dß½ng Ðích Nghiêm Bách Thäo(120&169) XØ có th¬ H÷c T§p hái thu¯c&H÷c T§p hái thu¯c lúc sau thu th§p Ðáo Ðích dßþc li®u có th¬ bán ra C¤p mµt ít luy®n t§p Chª Dßþc Ðích ngß¶i ch½i&m£t khác nhi®m vø có khi cûng s¨ c¥n mµt ít dßþc li®u.		
31	31	30	35	19	Ðáo LÕc Dß½ng Ðích Trß½ng Minh Cänh(135&164) XØ có th¬ H÷c T§p Chª Dßþc&H÷c T§p H§u có th¬ sØ døng dßþc li®u chª tÕo Xu¤t các loÕi thu¯c.		
32	32	30	35	20	Ðáo LÕc Dß½ng Ðích BÕch Dînh Minh(136&169) XØ có th¬ H÷c T§p dßþc lý&H÷c T§p lúc sau có th¬ r½i ch§m lÕi Chª Dßþc Th¶i sÑc s¯ng Ðích tiêu hao.		
33	33	10	20	0	Ðáo LÕc Dß½ng Ðích Trân Thú Ðiªm&(TÕi LÕc Dß½ng có th¬ Án TabKi®n Tá Khai thành th¸ bän ð° có th¬ th¤y'Trân Thú'chæ) thông qua Vân Hàm Nhi(183&154) có th¬ truy«n t¯ng Tiªn Huy«n Võ Ðäo&giªt chªt Huy«n Võ Ðäo Thßþng Ðích quái v§t lúc sau Hæu nh¤t ð¸nh tÖ l® xu¤t hi®n có th¬ b¡t giæ Ðích Trân Thú.		
34	34	15	20	0	TÕi ba thành th¸ giæa có th¬ Bài Than Ðích ð¸a phß½ng&Án'Alt+A'Tá Khai chính mình Ðích v§t ph¦m Lan lúc sau&Ði¬m Kích phía dß¾i Ðích'Bài Than'cái nút có th¬.		
35	35	15	20	0	Ðáo Tô Châu Ðích Vân Phi Phi(87&142) XØ(TÕi Tô Châu có th¬ Án TabKi®n Tá Khai thành th¸ bän ð° tìm'Trân Thú'chæ)&có th¬ tiêu phí nh¤t ð¸nh Ðích ti«n tài xem xét Trân Thú Ðích l¾n d¥n Su¤t		
36	36	10	15	0	Ðáo LÕc Dß½ng Ðích Trân Thú Ðiªm&(TÕi LÕc Dß½ng có th¬ Án TabKi®n Tá Khai thành th¸ bän ð° có th¬ th¤y'Trân Thú'chæ) thông qua Vân Thanh Thanh(172&141) có th¬ khôi phøc Trân Thú Ðích Khoái LÕc Ðµ.		
37	37	10	15	0	Ðáo LÕc Dß½ng Ðích Trân Thú Ðiªm&(TÕi LÕc Dß½ng có th¬ Án TabKi®n Tá Khai thành th¸ bän ð° có th¬ th¤y'Trân Thú'chæ) thông qua Vân Thanh Thanh(172&141) mua Ðích Trân Thú thñc v§t có th¬ khôi phøc Trân Thú Ðích sinh m®nh&Dã có th¬ · cØa thành g¥n ðây Ðích lang trung xØ phÕt Li®u.		
38	38	25	30	0	TÕi ngß¶i ch½i khác XØ có th¬ mua hàng Môn Phái Tri®u T§p Linh&sØ døng lúc sau có th¬ nhanh chóng Ðích tr· lÕi chính mình Ðích môn phái.		
39	39	20	25	21	Ðáo LÕc Dß½ng Ðích Tiªt Ð°ng ChuÏ(212&151) XØ có th¬ H÷c T§p Thái Khoáng&H÷c T§p Thái Khoáng lúc sau thu th§p Ðáo Ðích khoáng v§t có th¬ bán ra C¤p mµt ít luy®n t§p ðúc, công ngh® Ðích ngß¶i ch½i&m£t khác nhi®m vø có khi cûng s¨ c¥n mµt ít Khoáng ThÕch.		
40	40	50	55	22	Ðáo LÕc Dß½ng Ðích Vß½ng ÐÑc Phú(213&160) XØ có th¬ H÷c T§p ðúc&ðúc có th¬ sinh sän ðÕi lßþng Ðích th¥n binh lþi khí&nhßng là tài lñc bình thß¶ng Giä ch¾ nªm thØ.		
41	41	25	30	0	Ðáo Tô Châu Ðích Ngô ?(126&133) XØ có th¬ lînh Tr×ng Hung nhi®m vø&TÕi Cß¶ng ÐÕo Ðích trên ngß¶i m¾i có th¬ r½i xu¯ng Tàng Bäo Ð°.		
42	42	25	30	0	Hæu Ki®n sØ døng Tàng Bäo Ð° H§u&Hµi nêu lên mµt cái t÷a ðµ&Ðáo chï ð¸nh Ðích t÷a ðµ dùng lÕi Døng Tàng Bäo Ð° H§u còn có có th¬ nh§n ðßþc mµt loÕt kÏ ngµ&thØ xem s¨ biªt.		
43	43	50	55	23	Ðáo LÕc Dß½ng Ðích Phù Mçn Chi(193&172) XØ có th¬ H÷c T§p may&may có th¬ sinh sän nhi«u loÕi Phòng Cø&nhßng là tài lñc bình thß¶ng Giä ch¾ nªm thØ.		
44	44	50	55	24	Ðáo LÕc Dß½ng Ðích Long Tam Thi¬u(60&146) XØ có th¬ H÷c T§p công ngh®&công ngh® có th¬ sinh sän nhi«u loÕi v§t ph¦m trang sÑc&nhßng là tài lñc bình thß¶ng Giä ch¾ nªm thØ.		
45	45	20	40	0	TÕi Tri®u Thiên Sß XØ có th¬ lînh nhi®m vø c¯t truy®n&nhi®m vø c¯t truy®n phân bi®t TÕi nhân v§t c¤p b§c ðÕt t¾i 20&30&40&50……ÐÆng s¯ nguyên C¤p Ðích th¶i ði¬m có th¬ lînh.		
46	46	25	30	1	Hoà nam tính Ðích hæu häo Ðµ t¾i 1000lúc sau có th¬ Träo LÕc Dß½ng Ðích Nguy®t Lão(46&62) kªt hôn.		
47	47	35	40	0	Ðáo LÕc Dß½ng Ðích Trân Thú Ðiªm&(TÕi LÕc Dß½ng có th¬ Án TabKi®n Tá Khai thành th¸ bän ð° có th¬ th¤y'Trân Thú'chæ) thông qua Vân Thanh Thanh(172&141) có th¬ sinh sôi n¦y n·&nhßng là c¥n tìm ðßþc Ð°ng gi¯ng Ðích khác phái Trân Thú.		
48	48	30	40	0	Ðáo các thành th¸ Ðích thuÖ v§n SÑ XØ(TÕi thành th¸ Nµi có th¬ Án TabKi®n Tá Khai bän ð° tìm'Tào'Ðích chæ) lînh Quan Phiªu&sau ðó mua hàng hóa buôn Ðáo m£t khác thành th¸ có th¬.		
49	49	31	31	0	Ðáo LÕc Dß½ng Ðích Trân Thú Ðiªm&(TÕi LÕc Dß½ng có th¬ Án TabKi®n Tá Khai thành th¸ bän ð° có th¬ th¤y'Trân Thú'chæ) thông qua Vân Thanh Thanh(172&141) có th¬ SÑ trß·ng thành Trân Thú biªn thành Trân Thú cøc cßng&nhßng là c¥n phäi có'Trân Thú Hoàn Ð°ng Quy¬n Trøc'.		
50	50	35	40	2	Hoà næ tính Ðích hæu häo Ðµ t¾i 1000lúc sau có th¬ Träo LÕc Dß½ng Ðích Nguy®t Lão(46&62) kªt hôn.		
51	51	40	45	0	TÕi Tô Châu Ðích Ti«n H°ng Vû(62&162) XØ có th¬ lînh liên hoàn nhi®m vø&b¤t quá Yêu m¶i Thßþng m¤y các\u0020hÕ t¯t cùng ði.		
52	52	25	45	3	Hoà c¤p b§c th¤p h½n Nhî C¤p 10 Ðích ngß¶i ch½i t± ðµi Chí ÐÕi Lý Nhiªp Chính(141&133) XØ có th¬&b¤t quá nh¾ rõ ð¥u tiên mu¯n dçn S½ C¤p ngß¶i ch½i nh§n ðßþc 500Ði¬m thi®n ác Tr¸ dùng cho tång lên Nhçm sß phø ÐÑc c¤p b§c&Sß ÐÑc c¤p b§c Vi 0Ðích ngß¶i ch½i không th¬ thu ð° ð®. Tr· thành sß phó H§u giªt quái Hæu 5% Ðích kinh nghi®m Gia Thành.		
53	53	10	20	4	Träo b±n môn(91&71) XØ Ðích Huy«n Nan(Dã Khä Án TabKi®n Tá Khai Ti¬u bän ð° Träo'Võ'chæ)&có th¬ H÷c T§p b±n môn Ðích chï có tâm pháp&tâm pháp lên t¾i nh¤t ð¸nh c¤p b§c lúc sau là có th¬ h÷c ðßþc Tân Ðích kÛ nång. TÕi kÛ nång m£t biên ði¬m giæa Kích m£t trên Ðích tâm pháp&là có th¬ tÕi hÕ Di®n nhìn ðªn t×ng tâm pháp S· ð¯i Ñng Ðích kÛ nång&Tß¾ng kÛ nång kéo dài t¾i mau l© Lan có th¬ sØ døng.		
54	54	10	20	5	Träo b±n môn(109&59) XØ Ðích Bàng VÕn Xuân(Dã Khä Án TabKi®n Tá Khai Ti¬u bän ð° Träo'Võ'chæ)&có th¬ H÷c T§p b±n môn Ðích chï có tâm pháp&tâm pháp lên t¾i nh¤t ð¸nh c¤p b§c lúc sau là có th¬ h÷c ðßþc Tân Ðích kÛ nång. TÕi kÛ nång m£t biên ði¬m giæa Kích m£t trên Ðích tâm pháp&là có th¬ tÕi hÕ Di®n nhìn ðªn t×ng tâm pháp S· ð¯i Ñng Ðích kÛ nång&Tß¾ng kÛ nång kéo dài t¾i mau l© Lan có th¬ sØ døng.		
55	55	10	20	6	Träo b±n môn(94&99) XØ Ðích H« Tam KÏ(Dã Khä Án TabKi®n Tá Khai Ti¬u bän ð° Träo'Võ'chæ)&có th¬ H÷c T§p b±n môn Ðích chï có tâm pháp&tâm pháp lên t¾i nh¤t ð¸nh c¤p b§c lúc sau là có th¬ h÷c ðßþc Tân Ðích kÛ nång. TÕi kÛ nång m£t biên ði¬m giæa Kích m£t trên Ðích tâm pháp&là có th¬ tÕi hÕ Di®n nhìn ðªn t×ng tâm pháp S· ð¯i Ñng Ðích kÛ nång&Tß¾ng kÛ nång kéo dài t¾i mau l© Lan có th¬ sØ døng.		
56	56	10	20	7	Träo b±n môn(82&84) XØ Ðích Du Vi­n S½n(Dã Khä Án TabKi®n Tá Khai Ti¬u bän ð° Träo'Võ'chæ)&có th¬ H÷c T§p b±n môn Ðích chï có tâm pháp&tâm pháp lên t¾i nh¤t ð¸nh c¤p b§c lúc sau là có th¬ h÷c ðßþc Tân Ðích kÛ nång. TÕi kÛ nång m£t biên ði¬m giæa Kích m£t trên Ðích tâm pháp&là có th¬ tÕi hÕ Di®n nhìn ðªn t×ng tâm pháp S· ð¯i Ñng Ðích kÛ nång&Tß¾ng kÛ nång kéo dài t¾i mau l© Lan có th¬ sØ døng.		
57	57	10	20	8	Träo b±n môn(98&51) XØ Ðích Thôi Løc Hoa(Dã Khä Án TabKi®n Tá Khai Ti¬u bän ð° Träo'Võ'chæ)&có th¬ H÷c T§p b±n môn Ðích chï có tâm pháp&tâm pháp lên t¾i nh¤t ð¸nh c¤p b§c lúc sau là có th¬ h÷c ðßþc Tân Ðích kÛ nång. TÕi kÛ nång m£t biên ði¬m giæa Kích m£t trên Ðích tâm pháp&là có th¬ tÕi hÕ Di®n nhìn ðªn t×ng tâm pháp S· ð¯i Ñng Ðích kÛ nång&Tß¾ng kÛ nång kéo dài t¾i mau l© Lan có th¬ sØ døng.		
58	58	10	20	10	Träo b±n môn(97&67) XØ Ðích B±n Quan(Dã Khä Án TabKi®n Tá Khai Ti¬u bän ð° Träo'Võ'chæ)&có th¬ H÷c T§p b±n môn Ðích chï có tâm pháp&tâm pháp lên t¾i nh¤t ð¸nh c¤p b§c lúc sau là có th¬ h÷c ðßþc Tân Ðích kÛ nång. TÕi kÛ nång m£t biên ði¬m giæa Kích m£t trên Ðích tâm pháp&là có th¬ tÕi hÕ Di®n nhìn ðªn t×ng tâm pháp S· ð¯i Ñng Ðích kÛ nång&Tß¾ng kÛ nång kéo dài t¾i mau l© Lan có th¬ sØ døng.		
59	59	10	20	9	Träo b±n môn(87&70) XØ Ðích Thi Toàn(Dã Khä Án TabKi®n Tá Khai Ti¬u bän ð° Träo'Võ'chæ)&có th¬ H÷c T§p b±n môn Ðích chï có tâm pháp&tâm pháp lên t¾i nh¤t ð¸nh c¤p b§c lúc sau là có th¬ h÷c ðßþc Tân Ðích kÛ nång. TÕi kÛ nång m£t biên ði¬m giæa Kích m£t trên Ðích tâm pháp&là có th¬ tÕi hÕ Di®n nhìn ðªn t×ng tâm pháp S· ð¯i Ñng Ðích kÛ nång&Tß¾ng kÛ nång kéo dài t¾i mau l© Lan có th¬ sØ døng.		
60	60	10	20	11	Träo b±n môn(88&44) XØ Ðích Lan Kiªm(Dã Khä Án TabKi®n Tá Khai Ti¬u bän ð° Träo'Võ'chæ)&có th¬ H÷c T§p b±n môn Ðích chï có tâm pháp&tâm pháp lên t¾i nh¤t ð¸nh c¤p b§c lúc sau là có th¬ h÷c ðßþc Tân Ðích kÛ nång. TÕi kÛ nång m£t biên ði¬m giæa Kích m£t trên Ðích tâm pháp&là có th¬ tÕi hÕ Di®n nhìn ðªn t×ng tâm pháp S· ð¯i Ñng Ðích kÛ nång&Tß¾ng kÛ nång kéo dài t¾i mau l© Lan có th¬ sØ døng.		
61	61	10	20	12	Träo b±n môn(125&142) XØ Ðích Khang Quäng Lång(Dã Khä Án TabKi®n Tá Khai Ti¬u bän ð° Träo'Võ'chæ)&có th¬ H÷c T§p b±n môn Ðích chï có tâm pháp&tâm pháp lên t¾i nh¤t ð¸nh c¤p b§c lúc sau là có th¬ h÷c ðßþc Tân Ðích kÛ nång. TÕi kÛ nång m£t biên ði¬m giæa Kích m£t trên Ðích tâm pháp&là có th¬ tÕi hÕ Di®n nhìn ðªn t×ng tâm pháp S· ð¯i Ñng Ðích kÛ nång&Tß¾ng kÛ nång kéo dài t¾i mau l© Lan có th¬ sØ døng.		
62	62	10	30	0	Ðáo LÕc Dß½ng Ðích(265&44) Träo Kh±ng Tôn Uyên có th¬ xóa bö Nhçm trên ngß¶i dß th×a Ðích nhi®m vø v§t ph¦m.		
63	63	30	40	0	TÕi trò ch½i Trung tr× bö Bài Than XØ có th¬ mua ngß¶i ch½i bán ra Ðích v§t ph¦m, TÕi LÕc Dß½ng Ðích thß½ng hµi Dã có th¬ mua ngß¶i ch½i khác bán ra Ðích v§t ph¦m, Án tabKi®n Tá Khai bän ð° lúc sau, TÕi LÕc Dß½ng Ðích bên trái Ðích cØa thành g¥n ðây Hµi phát hi®n'Thß½ng'chæ. — ch² này có th¬ mua ch¡c ch¡n Xung v§t ph¦m, nhßng lÕi có cách Ti®n Ðích phân loÕi r¤t nhanh giúp ngß½i tìm ðßþc Nhî suy nghî Yêu Ðích v§t ph¦m Nga.		
64	64	30	35	29	Träo(127&30) Ðích Vß½ng T¸ch HÕo có th¬ H÷c ðµc hæu chính là cuµc s¯ng kÛ nång&Träo Vß½ng Chi Lâm có th¬ H÷c T§p phø trþ kÛ nång.		
65	65	10	30	29	Träo(69&125) Ðích Mµ Dung Thång&có th¬ lînh sß môn nhi®m vø&nh¾ rõ m²i ngày Ðích Ti«n mµt vòng nhi®m vø(mµt vòng cån cÑ c¤p b§c khác nhau Nhi khác nhau&ß¾c ch×ng Vi 10~20Cá nhi®m vø) thß·ng cho Phiên Bµi Nga.		
66	66	10	20	29	Träo b±n môn(48&134) XØ Ðích Mµ Dung Thanh S½n(Dã Khä Án TabKi®n Tá Khai Ti¬u bän ð° Träo'Võ'chæ)&có th¬ H÷c T§p b±n môn Ðích chï có tâm pháp&tâm pháp lên t¾i nh¤t ð¸nh c¤p b§c lúc sau là có th¬ h÷c ðßþc Tân Ðích kÛ nång. TÕi kÛ nång m£t biên ði¬m giæa Kích m£t trên Ðích tâm pháp&là có th¬ tÕi hÕ Di®n nhìn ðªn t×ng tâm pháp S· ð¯i Ñng Ðích kÛ nång&Tß¾ng kÛ nång kéo dài t¾i mau l© Lan có th¬ sØ døng.		
