INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1020114	274	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Lang vß½ng thÕch tr§n	#{MIS_TAR_ADD_203}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_18}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	273	-1	-1	1	20	2011	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020115	3	-1	-1
1020115	275	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Mai lînh ph§t quang	#{MIS_TAR_ADD_204}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_19}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	274	-1	-1	1	33	3311	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020116	3	-1	-1
1020116	276	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Thanh my nhß ð§u	#{MIS_TAR_ADD_205}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_20}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	275	-1	-1	1	27	2711	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020117	3	-1	-1
1020117	277	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Ngao bao tß¾ng hµi	#{MIS_TAR_ADD_206}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_21}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	276	-1	-1	1	21	2112	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020118	3	-1	-1
1020118	278	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Thiên nam nh¤t trø	#{MIS_TAR_ADD_207}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_22}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	277	-1	-1	1	34	3411	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020119	3	-1	-1
1020119	279	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Thiên tÕm phi ki«u	#{MIS_TAR_ADD_208}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_23}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	278	-1	-1	1	28	2812	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020120	3	-1	-1
1020120	280	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Bång h° kính bÕc	#{MIS_TAR_ADD_209}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_24}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	279	-1	-1	1	22	2211	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020121	3	-1	-1
1020121	281	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Da lâm pháo ðài	#{MIS_TAR_ADD_210}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_25}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	280	-1	-1	1	35	3511	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020122	3	-1	-1
1020122	282	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Hàn ng÷c ngßng hß½ng	#{MIS_TAR_ADD_211}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_26}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	281	-1	-1	1	29	2911	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020123	3	-1	-1
1020123	283	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Y lan tuyªt s½n	#{MIS_TAR_ADD_212}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_27}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	282	-1	-1	1	23	2311	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020124	3	-1	-1
1020124	284	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Hoa viên phi bµc	#{MIS_TAR_ADD_213}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_28}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	283	-1	-1	1	2	211	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020125	3	-1	-1
1020125	285	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Kim thành thang trì	#{MIS_TAR_ADD_214}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_29}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	284	-1	-1	1	0	11	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020126	3	-1	-1
1020126	286	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Phong höa liên thành	#{MIS_TAR_ADD_215}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_30}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	285	-1	-1	1	1	111	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020127	3	-1	-1
1020127	287	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Vô lßþng ng÷c bích	#{MIS_TAR_ADD_216}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_31}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	286	-1	-1	1	6	613	73	613	74	613	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020128	3	-1	-1
1020128	288	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- ÐÕi mÕc phong sá	#{MIS_TAR_ADD_217}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_32}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	287	-1	-1	1	8	812	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020129	3	-1	-1
1020129	289	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- H÷a my linh trì	#{MIS_TAR_ADD_218}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_33}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	288	-1	-1	1	5	512	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020130	3	-1	-1
1020130	290	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Lâu thuy«n thüy trÕi	#{MIS_TAR_ADD_219}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_34}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	289	-1	-1	1	4	412	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020131	3	-1	-1
1020131	291	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Khúc kính thông u	#{MIS_TAR_ADD_220}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_35}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	290	-1	-1	1	3	312	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020132	3	-1	-1
1020132	292	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Tam ðàm ¤n nguy®t	#{MIS_TAR_ADD_221}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_36}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	291	-1	-1	1	30	3012	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020133	3	-1	-1
1020133	293	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Thª ngoÕi ðào nguyên	#{MIS_TAR_ADD_222}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_37}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	292	-1	-1	1	18	1812	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020134	3	-1	-1
1020134	294	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Phong gian trß¶ng h°ng	#{MIS_TAR_ADD_223}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_38}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	293	-1	-1	1	19	1913	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020135	3	-1	-1
1020135	295	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- TØ hà ti¬u trúc	#{MIS_TAR_ADD_224}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_39}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	294	-1	-1	1	32	3212	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020136	3	-1	-1
1020136	296	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Phøng Hoàng Lßu S½	#{MIS_TAR_ADD_225}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_40}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	295	-1	-1	1	26	2613	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020137	3	-1	-1
1020137	297	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- ThÕch c¯c tàng kinh	#{MIS_TAR_ADD_226}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_41}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	296	-1	-1	1	33	3312	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020138	3	-1	-1
1020138	298	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Thüy lÕc thÕch xu¤t	#{MIS_TAR_ADD_227}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_42}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	297	-1	-1	1	27	2712	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020139	3	-1	-1
1020139	299	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Lâm gian thø cß	#{MIS_TAR_ADD_228}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_43}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	298	-1	-1	1	28	2813	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020140	3	-1	-1
1020140	300	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Häi thiên nh¤t s¡c	#{MIS_TAR_ADD_229}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_44}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	299	-1	-1	1	35	3512	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020141	3	-1	-1
1020141	301	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Dã ðµ vô nhân	#{MIS_TAR_ADD_230}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_45}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	300	-1	-1	1	29	2912	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020142	3	-1	-1
1020142	302	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Bµ dao ôn tuy«n	#{MIS_TAR_ADD_231}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_46}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	301	-1	-1	1	23	2312	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020143	3	-1	-1
1020143	303	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- ÐÕi Lý dân cß	#{MIS_TAR_ADD_232}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_47}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	302	-1	-1	1	2	212	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020144	3	-1	-1
1020144	304	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Diêm nha cao trác	#{MIS_TAR_ADD_233}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_48}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	303	-1	-1	1	0	12	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020145	3	-1	-1
1020145	305	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Vân s½n vø tráo	#{MIS_TAR_ADD_234}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_49}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	304	-1	-1	1	4	413	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020146	3	-1	-1
1020146	306	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Thâm s½n thái thÕch	#{MIS_TAR_ADD_235}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_50}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	305	-1	-1	1	28	2814	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020147	3	-1	-1
1020147	307	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- VÕn phu mÕc khai	#{MIS_TAR_ADD_236}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_51}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	306	-1	-1	1	35	3513	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020148	3	-1	-1
1020148	308	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- Th® giä nhß tß	#{MIS_TAR_ADD_237}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_52}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	307	-1	-1	1	4	414	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020149	3	-1	-1
1020149	309	55	0	1	0	222	102	Anh hùng không sþ vi­n chinh khó -- S½n thành xuân s¡c	#{MIS_TAR_ADD_238}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_53}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	308	-1	-1	1	2	213	0	0	0	0	0	5000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	-1	-1
