INT	INT	INT	STRING
22	3	21	#YNút ch¯ng trµm tài khoän#r#r#WThiªt l§p th¶i gian an toàn:· góc dß¾i bên trái giao di®n hành trang có thêm mµtNút ch¯ng trµm tài khoän,nh¤n vào ð¬ thiªt l§p th¶i gian an toàn theo ý mu¯n#Ví dø, nªu ð£t th¶i gian an toàn là 15 phút thì trong 15 phút sau l¥n ðång nh§p tiªp theo, nhân v§t này không th¬ thñc hi®n các thao tác sau##r1)Trong th¶i gian an toàn không th¬ giao d¸ch v¾i ngß¶i ch½i khác##r2)Trong th¶i gian an toàn không th¬ bày bán ho£c mua v§t ph¦m t× gian hàng cüa ngß¶i ch½i khác##r3)Trong th¶i gian an toàn không th¬ thêm hàng vào cØa hàng ngß¶i ch½i ho£c mua v§t ph¦m t× cØa hàng ngß¶i ch½i##r4)Trong th¶i gian an toàn không th¬ ð±i phiªu Nguyên Bäo##r5)Trong th¶i gian an toàn không th¬ chuy¬n chª ðµ PK sang chª ðµ h²n chiªn##r6)Trong th¶i gian an toàn không th¬ tuyên chiªn v¾i ngß¶i khác##r7)Trong th¶i gian an toàn không th¬ sØ døng chÑc nång ký gØi##rTh¶i gian an toàn do ngß¶i ch½i tñ thiªt l§p, nh¢m bäo v® quy«n lþi cüa ngß¶i ch½i trong th¶i gian ng¡n sau khi vào game không b¸ t±n th¤t.(Ð£c bi®t lßu ý: l¥n ð¥u không nên ð£t th¶i gian quá dài, nên dùng th¶i gian m£c ð¸nh ð¬ tránh b¤t ti®n.)
23	2	3	#YTñ ðµng bäo v® b¢ng thë m§t bäo
24	3	23	#YTñ ðµng bäo v® b¢ng thë m§t bäo#r#r#WThë bäo v® m§t kh¦u là d¸ch vø bäo v® an toàn tài khoän dành cho t¤t cä ngß¶i ch½i Thiên Long Bát Bµ.#rThë bäo v® m§t kh¦u ðßþc t£ng mi­n phí kèm thë Sohu Yika Tong 200, 600 và 2000 ði¬m.Ngoài chÑc nång nÕp ði¬m cüa thë Sohu Yika Tong, m£t sau còn có ma tr§n s¯ 7*7 phü l¾p bäo v®. M²i ô trong ma tr§n có mµt s¯ g°m hai chæ s¯. Nh¶ ðó,Bäo v® m§t kh¦u##########m§t kh¦u#,#####tài khoän#an toàn##r###gamethë ði¬m###,###,##########Bäo v® m§t kh¦uchÑc nång###thë ði¬m(200,600##2000#)###Bäo v® m§t kh¦uchÑc nång#Bäo v® m§t kh¦u############khuyªn ngh¸############Bäo v® m§t kh¦uchÑc nång##mi­n phí##rNªu ngß¶i ch½i nh§p ðúng tài khoän và m§t kh¦u nhßng nh§p sai mã thë m§t bäo, tài khoän phäi ch¶ mµt phút m¾i có th¬ ðång nh§p lÕi, giúp ngån ch£n kë trµm tài khoän.#rCó th¬ täi mi­n phí thë m§t bäo trên trang web chính thÑc.
25	2	3	#YNh§p m§t kh¦u b¢ng bàn phím äo
26	3	25	#YNh§p m§t kh¦u b¢ng bàn phím äo#r#r#WÐ¬ phòng tránh vi®c m¤t tài khoän, tÕi giao di®n nh§p tài khoän và m§t kh¦u, bàn phím äo m£c ð¸nh ðßþc b§t; khi giäi mã và thay ð±i m§t kh¦u b¡t buµc phäi sØ døng bàn phím äo.
29	2	3	#YLiên kªt ði®n thoÕi
30	3	29	#YLiên kªt ði®n thoÕi#r#r#WBß¾c 1: Truy c§p http://account.changyou.com,#rBß¾c 2: Ðång nh§p h® th¯ng,#rBß¾c 3: Ði«n thông tin bäo v® m§t kh¦u,#rBß¾c 4: Ch÷n: Liên kªt ði®n thoÕi,#rBß¾c 5: Ði«n s¯ ði®n thoÕi,#rBß¾c 6: GØi tin nh¡n SMS#rSau ðó, hãy kiên nhçn ch¶ vài phút. H® th¯ng SMS s¨ tñ ðµng gØi tin nh¡n thông báo trÕng thái liên kªt.Lßu ý: M²i s¯ ði®n thoÕi chï ðßþc phép liên kªt t¯i ða 3 tài khoän khác nhau.#rHüy liên kªt ði®n thoÕi v¾i tài khoän:TLJB+mã tài khoän(Mã tài khoän là các chæ s¯ dÕng ASCII: 1, 2, 3. Mã tài khoän có th¬ ð¬ tr¯ng.#:TLJB,TLJB1,TLJB12,TLJB123ð«u là ð¸nh dÕng hþp l®)Ví dø: nªu ði®n thoÕi cüa bÕn chï liên kªt v¾i mµt tài khoän game, gØi TLJB1 ho£c TLJB ð«u có th¬ hüy liên kªt tài khoän.Nªu liên kªt hai tài khoän, gØi TLJB1 ð¬ hüy liên kªt tài khoän thÑ nh¤t, TLJB2 ð¬ hüy liên kªt tài khoän thÑ hai, gØi TLJB12 ð¬ khóa t¤t cä.Ho£c bÕn có th¬ ðång nh§p trñc tiªp http://account.changyou.com, vào khu vñc liên kªt ði®n thoÕi ð¬ hüy liên kªt s¯ ði®n thoÕi.
31	2	4	#YCách thiªt l§p m§t kh¦u tài khoän Sohu Pass
32	3	31	#YTài khoän Sohu Pass thiªt l§p m§t kh¦u game nhß thª nào?#r#r#WTrä l¶i:Nªu tài khoän cüa bÕn thuµc ngß¶i dùng sohu, 17173, ChinaRen ho£c sogou, hãy ðång nh§p trung tâm quän lý tài khoän trên trang web chính thÑc ð¬ thiªt l§p m§t kh¦u game và ði«n thông tin liên quan nh¢m bäo ðäm an toàn tài khoän.
33	2	4	#YM§t kh¦u nào ðßþc thay ð±i trên trang chü Thiên Long
34	3	33	#YM§t kh¦u nào ðßþc thay ð±i trên trang chü Thiên Long?#r#r#WTrä l¶i:M§t kh¦u ðßþc thay ð±i tÕi ðây là m§t kh¦u game dùng ð¬ ðång nh§p vào trò ch½i.#rNªu bÕn sØ døng tài khoän game ho£c changyou, m§t kh¦u ðßþc thay ð±i tÕi ðây chính là m§t kh¦u game ðã ði«n khi ðång ký tài khoän.#rNªu bÕn sØ døng tài khoän Sohu khác (ví dø: sohu, 17173, ChinaRen, sogou), m§t kh¦u ðßþc thay ð±i tÕi ðây là m§t kh¦u game bÕn ðã t×ng thiªt l§p.#rNªu mu¯n thay ð±i m§t kh¦u ðång nh§p cüa tài khoän game, bÕn có th¬ vào trang thay ð±i m§t kh¦u trong trung tâm quän lý tài khoän trên trang web chính thÑc và dùng ðúng m§t kh¦u c¤p cao ð¬ yêu c¥u thay ð±i.#rVí dø: bÕn ðång ký tài khoän game abc#game.sohu.com trong h® th¯ng SDE cüa trang Thiên Long, m§t kh¦u là 123, thì m§t kh¦u ðßþc thay ð±i là m§t kh¦u game 123.#rBÕn ðång ký tài khoän abc#sohu.com trên sohu.com v¾i m§t kh¦u 123, sau ðó ð£t 456 làm m§t kh¦u game, thì m§t kh¦u ðßþc thay ð±i là m§t kh¦u game 456.#rNªu c¥n thay ð±i m§t kh¦u 123, bÕn phäi ðªn trung tâm h² trþ khách hàng cüa sohu.com ð¬ yêu c¥u thay ð±i.
35	2	4	#YCách thiªt l§p thông tin bäo v® m§t kh¦u
36	3	35	#YTrß¾c ðây tôi chßa t×ng thiªt l§p thông tin bäo v® m§t kh¦u, bây gi¶ còn có th¬ thiªt l§p không?#r#r#WTrä l¶i:Nªu tài khoän cüa bÕn chßa t×ng thiªt l§p thông tin bäo v® m§t kh¦u, bÕn có th¬ ðång nh§p trung tâm quän lý tài khoän, sau ðó nh¤n møc ðång ký bäo v® m§t kh¦u trên trang ð¬ thñc hi®n thao tác tß½ng Ñng.#rLßu ý: Sau khi thiªt l§p thông tin bäo v® m§t kh¦u, bÕn không th¬ tñ sØa ho£c xem lÕi. Khuyªn ngh¸ ði«n trung thñc và bäo quän c¦n th§n; m÷i tranh ch¤p tài khoän do khai báo sai ho£c ð¬ lµ thông tin cá nhân s¨ do thành viên tñ ch¸u trách nhi®m.
37	2	4	#YQuên m§t kh¦u c¤p cao thì l¤y lÕi thª nào
38	3	37	#YQuên m§t kh¦u c¤p cao thì l¤y lÕi thª nào?#r#r#WTrä l¶i:http://account.changyou.com/reg/getsuperemail.jspð¬ vào trang thay ð±i m§t kh¦u.#rBß¾c 1:H® th¯ng s¨ yêu c¥u bÕn ði«n tài khoän và email ðång ký.#rBß¾c 2:Sau khi gØi thành công, chúng tôi s¨ gØi email xác nh§n ð£t lÕi m§t kh¦u c¤p cao ðªn email ðång ký cüa bÕn.#rBß¾c 3:Hãy làm theo hß¾ng dçn trong email, nh¤n liên kªt thay ð±i m§t kh¦u c¤p cao và thiªt l§p lÕi m§t kh¦u c¤p cao trong vòng ba ngày.#rBß¾c 4:Sau khi gØi thành công, vi®c ð£t lÕi m§t kh¦u c¤p cao hoàn t¤t và m§t kh¦u m¾i s¨ có hi®u lñc ngay.#r#rLßu ý:Nªu không nh§n ðßþc email ho£c ðã quá th¶i hÕn ba ngày, bÕn có th¬ yêu c¥u gØi lÕi email; mµt s¯ ð¸a chï email có th¬ không nh§n ðßþc thß xác nh§n, khuyªn ngh¸ sØ døng email Sohu ho£c email trä phí làm email ðång ký.
39	2	4	#YQuên m§t kh¦u ðång nh§p thì l¤y lÕi thª nào
40	3	39	#Y#Quên m§t kh¦u ðång nh§p thì l¤y lÕi thª nào?#r#r#WTrä l¶i:http://account.changyou.com/reg/changepwd.jspð¬ vào trang thay ð±i m§t kh¦u game.#rBß¾c 1:H® th¯ng s¨ yêu c¥u bÕn ði«n tài khoän tß½ng Ñng v¾i m§t kh¦u và m§t kh¦u c¤p cao.#rBß¾c 2:Sau khi thông tin ðßþc xác minh thành công, trang s¨ tñ ðµng chuy¬n sang trang thay ð±i m§t kh¦u.#rBß¾c 3:Thñc hi®n các thao tác tß½ng Ñng theo yêu c¥u trên trang.#rBß¾c 4:Sau khi thay ð±i thành công, hãy ðång nh§p b¢ng m§t kh¦u m¾i.
41	2	4	#YEmail hªt hÕn ho£c không còn hi®u lñc thì sØa thª nào
42	3	41	#YEmail ðång ký#####,##có th¬thay ð±i,####thay ð±i?#r#r#WTrä l¶i:vui lòng#ðång nh§ptrung tâm h² trþ khách hàng#######,###Email ðång kýthay ð±iyêu c¥u##,ði«n#########(###,##,###)######trung tâm h² trþ khách hàng,nªu#######,#có th¬####gØitrung tâm h² trþ khách hàngemail,######gØi#chính thÑctrung tâm h² trþ khách hàng#######nh§n####24#48gi¶######
43	2	4	#YThông tin bäo m§t b¸ lµ thì sØa thª nào
44	3	43	#YThông tin bäo m§t b¸ lµ, có th¬ thay ð±i không và thay ð±i b¢ng cách nào?#r#r#WTrä l¶i:Hãy ðång nh§p trung tâm h² trþ khách hàng # quy trình xØ lý h² trþ, täi xu¯ng #Ð½n yêu c¥u thay ð±i thông tin bäo m§t#, ði«n ð¥y ðü r°i fax bän sao gi¤y t¶ hþp l® (CMND, hµ chiªu, chÑng minh quân nhân) ðªn trung tâm h² trþ. Nªu không ti®n fax, bÕn có th¬ gØi email ðªn hµp thß h² trþ ho£c chuy¬n phát ðªn trung tâm h² trþ chính thÑc. Nhân viên s¨ xØ lý trong vòng 24#48 gi¶ sau khi nh§n bi¬u mçu.#r#rLßu ý:M²i tài khoän chï ðßþc thay ð±i thông tin bäo m§t t¯i ða ba l¥n m²i nåm (nåm dß½ng l¸ch); quá ba l¥n s¨ không ðßþc tiªp nh§n.Sau khi thiªt l§p thông tin bäo v® m§t kh¦u, ngß¶i dùng không th¬ tñ sØa ho£c xem lÕi. Khuyªn ngh¸ ði«n thông tin trung thñc và bäo quän c¦n th§n. M÷i tranh ch¤p tài khoän do khai báo sai ho£c ð¬ lµ thông tin cá nhân s¨ do thành viên tñ ch¸u trách nhi®m.
45	2	5	#YAn toàn mÕng là gì
46	3	45	#YAn toàn mÕng là gì?#r#r#WAn toàn mÕng là vi®c ph¥n cÑng, ph¥n m«m và dæ li®u trong h® th¯ng mÕng ðßþc bäo v®, không b¸ phá hoÕi, thay ð±i ho£c rò rï do nguyên nhân ngçu nhiên hay ác ý; h® th¯ng có th¬ hoÕt ðµng liên tøc, ±n ð¸nh và ðáng tin c§y, d¸ch vø mÕng không b¸ gián ðoÕn.
47	2	5	#YVirus máy tính là gì
48	3	47	#YVirus máy tính là gì?#r#r#WVirus máy tính (ComputerVirus) là mµt nhóm l®nh ho£c mã chß½ng trình do ngß¶i viªt chèn vào chß½ng trình máy tính nh¢m phá hoÕi chÑc nång ho£c dæ li®u, änh hß·ng ðªn vi®c sØ døng máy tính và có khä nång tñ sao chép.
49	2	5	#YTrojan là gì
50	3	49	#YTrojan là gì?#r#r#WTrojan là mµt loÕi ph¥n m«m ði«u khi¬n t× xa có tính ch¤t ðµc hÕi. Trojan thß¶ng g°m máy khách (client) và máy chü (server). Máy khách là bäng ði«u khi¬n các l®nh ðßþc sØ døng tÕi máy cøc bµ; máy chü ðßþc chÕy trên máy cüa ngß¶i khác, và chï máy tính ðã chÕy máy chü m¾i có th¬ b¸ ki¬m soát hoàn toàn. Trojan không lây nhi­m t®p nhß virus.
51	2	5	#YTß¶ng lØa là gì
52	3	51	#YTß¶ng lØa là gì?######mÕngan toàn#?#r#r#WSØ døng tß¶ng lØa (Firewall) là mµt phß½ng pháp bäo ðäm an toàn mÕng. Tß¶ng lØa là t§p hþp các thành ph¥n ðßþc ð£t giæa các mÕng khác nhau (nhß mÕng nµi bµ doanh nghi®p ðáng tin c§y và mÕng công cµng không ðáng tin c§y) ho£c giæa các vùng an ninh mÕng. Ðây là c±ng ra vào thông tin duy nh¤t giæa các mÕng ho£c vùng an ninh mÕng, có th¬ ki¬m soát (cho phép, t× ch¯i, giám sát) lu°ng thông tin ra vào theo chính sách bäo m§t cüa doanh nghi®p và bän thân có khä nång ch¯ng t¤n công mÕnh. Ðây là c½ s· hÕ t¥ng cung c¤p d¸ch vø an toàn thông tin và thñc hi®n an toàn mÕng, an toàn thông tin.
53	2	5	#YBackdoor là gì
54	3	53	#YBackdoor là gì?########?#W#r#rBackdoor (cØa h§u) là phß½ng thÑc vßþt qua c½ chª ki¬m soát an toàn ð¬ giành quy«n truy c§p vào chß½ng trình ho£c h® th¯ng. Trong giai ðoÕn phát tri¬n ph¥n m«m, l§p trình viên ðôi khi tÕo backdoor ð¬ thu§n ti®n sØa l²i. Nªu backdoor b¸ ngß¶i khác biªt ho£c không ðßþc xóa trß¾c khi phát hành ph¥n m«m, nó s¨ tr· thành mµt l² h±ng an toàn.
55	2	5	#YVirus sâu máy tính là gì
56	3	55	#YVirus sâu máy tính là gì?#r#r#W##virus(Worm)######mÕng####virus#1988nåm,22#############-###(RobertMorris)##mÕnggØi#######UNIXh® th¯ng##,####(Worm)#virus######6000#h® th¯ng##,#####200##6000#############,#########máy tính####(CERT)#####virus############,########virus#########
57	2	5	#YVirus h® ði«u hành là gì
58	3	57	#YVirus h® ði«u hành là gì?######?#r#r#W##virus##########thao tách® th¯ng######thao tách® th¯ng####,########,#####h® th¯ng##########thao tách® th¯ng,##virus####,###########thao tách® th¯ng##########virus##########thao tách® th¯ng########thao tách® th¯ng#######tác døng,##virus##thao tách® th¯ng#####,#thao tách® th¯ng#######,##virus#h® th¯ng###########
59	2	5	#YHß¾ng dçn ch¯ng trµm tài khoän h¢ng ngày
60	3	59	#YHß¾ng dçn ch¯ng trµm tài khoän h¢ng ngày#r#r#Wðång ký######ði«n###thông tin,##tài khoän####,###ðång kýthông tincó th¬##############tài khoän######r###tài khoän######,####không th¬###########tài khoän,Email##,QQ####r#####m§t kh¦u##r####máy tính#,###ctrl#alt#del###,#################nªu#,#############r#####ngß¶i dùng,########Trojan##########,#####Trojan#######thao tác###,###########r##############,######m§t kh¦u#,############################chú ý#,############Trojan##,######IDm§t kh¦u#,khuyªn ngh¸###########,#########cách,##:#W##m§t kh¦u#,######,##m§t kh¦u#daojian2005,có th¬###2005###########,###daojian#######tài khoän#daojian2005,m§t kh¦u#laoda0724,###có th¬###tài khoän###,#####m§t kh¦u###,#:da.la.oj.od.ia.a0.##########rvui lòng#IE#"INTERNET##"#"##"thiªt l§p#"####thiªt l§p"##r########,virustß¶ng lØa,##########,##chú ý####virus###r####ngày#############,nªu##c¥n,vui lòng#######thao tác##r################,ð£c bi®t############r########Email############r######QQ##############r#########máy tínhthao tách® th¯ng###############Trojan########r##########,###############,#############Trojan####r###máy tính##,########l¥n,######thông tin##r###m§t kh¦uthông tin#####,###########,#######h® th¯ng#######W#QQ##,######QQ#######QQ#########,#####ngß¶i dùng#m§t kh¦u#####máy tính##,#########,#có th¬#####ID,###########khuyªn ngh¸###,###########
61	2	5	#YCänh giác v¾i các thü ðoÕn l×a ðäo trên mÕng
62	3	61	#YCänh giác v¾i các thü ðoÕn l×a ðäo trên mÕng#r#r#W#####ID[h® th¯ng##]###GM###,########mi­n phí#trang b¸######,####tài khoän,m§t kh¦u#####,#ngß¶i dùng##tài khoän,ðång nh§pm§t kh¦u###thông tin##rLßu ý:####,###GM##########tài khoän#m§t kh¦u,ð£c bi®t#m§t kh¦u########,####tài khoänm§t kh¦u,########r##########,###################X,#######X ,#######################:#######rLßu ý:giao d¸ch#############,######################r#####################,######,######,#######################,########,#############,#######,########,###############rLßu ý:#####,nªu###nåm###,################r####ngß¶i ch½i###game##trang b¸#thë ði¬m######,###tài khoänm§t kh¦u#################################,########,#################rLßu ý:#####thë ði¬m##giao d¸ch#####rngày######,########,####,############nªu######,###,####################,#################,#######ðång nh§p#######,#####trang web###Trojan##rLßu ý:###chính thÑc#####################,nªu######,##########r##mÕnggame##########ngß¶i ch½i##giao d¸ch,#################,##giao d¸ch#############giao d¸ch,##:###,######,########,###############################l¥n#,#####giao d¸ch###,########,######,#########rLßu ý:giao d¸ch########,############,nªu#####l¥n##giao d¸ch,####,#######
63	2	5	#YKiªn thÑc an toàn m§t kh¦u
64	3	63	#YKiªn thÑc an toàn m§t kh¦u#r#r#W##############thông tin##m§t kh¦u########,####,#####,#####,##,##ði®n thoÕi##,##############r######m§t kh¦u,##8#######,####################,###m§t kh¦u#vui lòng########an toàn##r###m§t kh¦u#################################m§t kh¦u#####r##########m§t kh¦u,######m§t kh¦u##,#############r###Windows##IE########m§t kh¦u,##*#########m§t kh¦u,########,Windows###m§t kh¦u###################r########tài khoänm§t kh¦u,chú ý#tài khoänm§t kh¦u#####an toàn####m§t kh¦u#####,#######,####PDA#########ryêu c¥uBäo v® m§t kh¦u,####thiªt l§pan toàn#,an toàn####m§t kh¦uthiªt l§p####nªu###thiªt l§pan toàn#,##########m§t kh¦u,#có th¬###m§t kh¦u#ðång kýthông tin(#####)##thay ð±i##r###m§t kh¦u ð½n giän nguy hi¬m,#####m§t kh¦uthiªt l§p#8#########,###########
65	2	5	#YCác loÕi m§t kh¦u ð½n giän và nguy hi¬m dß¾i ðây
66	3	65	#YCác loÕi m§t kh¦u ð½n giän và nguy hi¬m dß¾i ðây#r#r#Wm§t kh¦u#ngß¶i dùng###,#ngß¶i dùng##m§t kh¦u##test##r##8########m§t kh¦u#####10#,8#########10#8l¥n#=100,000,000#,###máy tính####3#4#######,#####c¥n##3gi¶#có th¬####m§t kh¦u###r##5#########################36#,######36#5l¥n#=60466176####,####máy tính####3#4#######,#####c¥n25phút#có th¬####m§t kh¦u##rm§t kh¦u#########,#123,1234,111,1111,0000,123456###r############m§t kh¦u##r#########m§t kh¦u##r###########m§t kh¦u,#software,hello,hongkong##,#######m§t kh¦u,nªu##,có th¬######s,####,##có th¬##################m§t kh¦u,##########m§t kh¦u########có th¬####r#r#:#########,##Trojan###,###############có th¬##,#################,NortonAntiVirus,####,Trojan##,TrojanRemover##
67	2	6	#YLàm gì khi tài khoän b¸ ðánh c¡p
68	3	67	#YLàm gì khi tài khoän b¸ ðánh c¡p?#r#r#Wkhuyªn ngh¸#####thao tác:#rBß¾c 1:##trung tâm h² trþ khách hàng,#######tài khoänðång ký#ði«n###thông tin,#tài khoän########rBß¾c 2:######,########an toàn##rBß¾c 3:####an toàn#,ðång nh§ptrung tâm h² trþ khách hàng##m§t kh¦u#M§t kh¦u c¤p cao##rBß¾c 4:##thë m§t bäoliên kªt#Liên kªt ði®n thoÕi,##an toàn tài khoän###
69	2	6	#YCách l¤y lÕi và thay ð±i m§t kh¦u
70	3	69	#YCách l¤y lÕi và thay ð±i m§t kh¦u?#r#r#WTruy c§p trang web chính thÑc Thiên Long Bát Bµ#rBß¾c 1:h® th¯ng####ði«ntài khoän#M§t kh¦u c¤p cao##rBß¾c 2:Thñc hi®n các thao tác tß½ng Ñng theo yêu c¥u trên trang.#rBß¾c 3:Sau khi thay ð±i thành công, hãy ðång nh§p b¢ng m§t kh¦u m¾i#
71	2	6	#YCách ð£t lÕi m§t kh¦u c¤p cao
