INT	INT	INT	INT	INT	INT	INT	INT	STRING
10157028	0	4	63	73	-1	0	4	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157029	0	4	37	2	-1	0	5	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157030	0	5	0	1110	-1	0	0	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157031	0	5	59	177	58	177	1	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157032	0	5	61	177	60	177	2	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157033	0	5	62	220	-1	0	3	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157034	0	5	63	73	-1	0	4	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157035	0	5	37	2	-1	0	5	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157036	1	0	0	1876	-1	0	0	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157037	1	0	59	299	58	299	1	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157038	1	0	61	299	60	299	2	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157039	1	0	62	372	-1	0	3	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157040	1	0	63	124	-1	0	4	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157041	1	0	37	4	-1	0	5	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157042	1	1	0	1876	-1	0	0	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157043	1	1	59	299	58	299	1	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157044	1	1	61	299	60	299	2	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157045	1	1	62	372	-1	0	3	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157046	1	1	63	124	-1	0	4	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157047	1	1	37	4	-1	0	5	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157048	1	2	0	1876	-1	0	0	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
